Name;ID;CAS;MW / g mol-1;Tc / K;Pc / bar;w;L;M;N;c (cm3 mol-1);a1;a2;b1;b2;c1;d1;Vcosmo /nm3;SMILES
methane;1;74-82-8;16.0425;190.564;45.99;0.0115478;0.147384887;0.907477449;1.824108902;-3.560492926;0.063875;0.083422;0.596602;0.463695;0.432752;0.390019;0.0390244;C
ethane;2;74-84-0;30.069;305.32;48.72;0.099493;0.305327516;0.869266115;1.329661697;-3.674525254;-0.075479;0.043942;0.566873;0.404919;0.564111;0.519519;0.0607498;CC
propane;3;74-98-6;44.09562;369.83;42.48;0.152291;0.745503542;0.913328493;0.760974284;-3.734936318;-0.045184;0.045592;0.575423;0.493083;0.533646;0.584549;0.0824766;CCC
isobutane;4;75-28-5;58.1222;407.8;36.4;0.183521;1.07722805;0.992125699;0.574264689;-3.802618511;-0.133932;0.040616;0.555884;0.432226;0.712229;0.648713;0.1039249;CC(C)C
butane;5;106-97-8;58.1222;425.12;37.96;0.200164;0.415360604;0.849006881;1.320486627;-3.436476255;-0.186278;0.029338;0.567013;0.211282;0.658341;0.673177;0.1041887;CCCC
1,1,3-trimethylcyclohexane;6;3073-66-3;126.239;611.3;29.78;0.27533;0.199488267;0.851479896;2.525737138;-15.24137571;8888;8888;8888;8888;8888;8888;0.1939145;CC(CCC1)CC1(C)C
pentane;7;109-66-0;72.14878;469.7;33.7;0.251506;0.29329822;0.836623155;1.824621434;-1.598714665;-0.167855;0.025227;0.564539;0.241763;0.57069;0.617408;0.1258962;CCCCC
methylbutane;8;78-78-4;72.14878;460.4;33.8;0.227875;0.240292093;0.837462558;1.951988002;-3.603734997;-0.177167;0.025206;0.570994;0.177241;0.47555;0.478172;0.1252798;CCC(C)C
neopentane;9;463-82-1;72.14878;433.8;31.96;0.195657;0.126791997;0.849389306;2.559056242;-5.963343172;-0.067039;0.045004;0.57845;0.417685;0.413121;0.470018;0.1249034;CC(C)(C)C
methylcyclopropane;10;594-11-6;56.1063;440.5;45.14;0.153903;0.134675893;0.858697253;2.36582421;-2.920889102;8888;8888;8888;8888;8888;8888;0.0952472;CC1CC1
hexane;11;110-54-3;86.17536;507.6;30.25;0.301261;0.287261196;0.834050544;2.019905529;0.816279054;-0.174896;0.023392;0.569631;0.18741;0.512607;0.585792;0.1476231;CCCCCC
