-3.0 e/nm2;-2.9 e/nm2;-2.8 e/nm2;-2.7 e/nm2;-2.6 e/nm2;-2.5 e/nm2;-2.4 e/nm2;-2.3 e/nm2;-2.2 e/nm2;-2.1 e/nm2;-2.0 e/nm2;-1.9 e/nm2;-1.8 e/nm2;-1.7 e/nm2;-1.6 e/nm2;-1.5 e/nm2;-1.4 e/nm2;-1.3 e/nm2;-1.2 e/nm2;-1.1 e/nm2;-1.0 e/nm2;-0.9 e/nm2;-0.8 e/nm2;-0.7 e/nm2;-0.6 e/nm2;-0.5 e/nm2;-0.4 e/nm2;-0.3 e/nm2;-0.2 e/nm2;-0.1 e/nm2;0.0 e/nm2;0.1 e/nm2;0.2 e/nm2;0.3 e/nm2;0.4 e/nm2;0.5 e/nm2;0.6 e/nm2;0.7 e/nm2;0.8 e/nm2;0.9 e/nm2;1.0 e/nm2;1.1 e/nm2;1.2 e/nm2;1.3 e/nm2;1.4 e/nm2;1.5 e/nm2;1.6 e/nm2;1.7 e/nm2;1.8 e/nm2;1.9 e/nm2;2.0 e/nm2;2.1 e/nm2;2.2 e/nm2;2.3 e/nm2;2.4 e/nm2;2.5 e/nm2;2.6 e/nm2;2.7 e/nm2;2.8 e/nm2;2.9 e/nm2;3.0 e/nm2
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;6.13E-09;3.07E-06;1.56E-05;2.96E-05;1.20E-05;-6.57E-05;-1.45E-04;-1.29E-04;-3.73E-05;9.09E-06;-2.15E-05;-1.90E-05;1.04E-05;-8.51E-05;-3.67E-04;-8.44E-04;-1.26E-03;-4.97E-04;3.60E-03;1.47E-02;3.01E-02;3.79E-02;3.82E-02;3.79E-02;3.73E-02;4.04E-02;4.47E-02;3.62E-02;1.68E-02;4.18E-03;1.68E-03;1.89E-03;1.55E-03;7.31E-04;1.41E-04;-2.65E-05;1.68E-04;3.90E-04;3.10E-04;2.79E-04;4.50E-04;5.27E-04;3.85E-04;1.48E-04;1.64E-05;-9.07E-06;-8.21E-06;2.41E-06;1.27E-05;1.00E-05;2.92E-06;7.06E-07;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;-2.21E-09;-1.72E-06;-1.12E-05;-3.13E-05;-3.03E-05;1.89E-06;2.99E-05;5.69E-05;7.36E-05;5.08E-05;2.22E-05;2.15E-05;9.21E-06;-5.67E-05;-1.50E-04;-3.00E-04;-4.49E-04;-4.63E-04;-3.89E-04;1.83E-03;1.14E-02;2.36E-02;2.88E-02;2.98E-02;3.00E-02;2.68E-02;2.18E-02;1.76E-02;1.09E-02;3.03E-03;2.10E-04;2.22E-04;1.37E-04;8.14E-05;7.50E-05;8.09E-05;1.48E-04;1.70E-04;1.45E-04;1.53E-04;1.51E-04;1.02E-04;3.19E-05;-3.02E-06;-1.61E-06;3.09E-06;4.64E-06;6.25E-06;7.06E-06;4.53E-06;1.04E-06;-3.46E-08;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;-7.86E-09;-4.87E-06;-3.29E-05;-6.45E-05;-2.34E-05;9.69E-05;1.75E-04;1.77E-04;1.52E-04;1.24E-04;1.63E-04;1.56E-04;4.13E-05;6.06E-06;-5.38E-05;-4.46E-04;-1.04E-03;-1.76E-03;-3.06E-03;-2.40E-03;1.90E-03;5.98E-03;7.37E-03;7.05E-03;5.98E-03;8.69E-03;1.44E-02;1.13E-02;2.54E-03;-3.53E-04;-5.53E-04;-1.33E-03;-1.09E-03;-4.13E-04;-9.53E-05;-1.13E-04;-2.13E-04;-7.95E-05;-5.53E-05;-3.99E-04;-8.13E-04;-8.48E-04;-4.49E-04;-9.01E-05;1.55E-05;2.69E-05;2.63E-05;1.08E-05;-5.03E-06;-7.90E-06;-3.47E-06;-9.64E-07;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;-2.04E-08;-1.89E-05;-1.09E-04;-2.74E-04;-2.59E-04;6.80E-05;2.54E-04;8.22E-05;-1.61E-04;-2.58E-04;-2.12E-04;-2.09E-04;-1.68E-04;6.93E-05;2.47E-04;2.00E-05;-1.16E-03;-3.16E-03;-3.49E-03;-3.37E-03;-8.88E-03;-1.66E-02;-2.13E-02;-2.64E-02;-3.04E-02;-2.64E-02;-1.78E-02;-1.39E-02;-1.02E-02;-3.68E-03;1.60E-04;4.94E-04;-6.92E-04;-1.18E-03;-8.53E-04;-8.47E-04;-1.08E-03;-9.68E-04;-5.89E-04;-5.47E-04;-5.66E-04;-1.98E-04;9.87E-05;1.18E-04;4.07E-05;3.16E-06;7.85E-06;8.67E-06;4.62E-06;7.41E-06;9.66E-06;2.18E-06;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;6.02E-10;1.56E-06;6.63E-06;2.41E-05;5.20E-05;5.13E-05;3.65E-05;4.95E-05;4.90E-05;1.78E-06;-5.70E-06;3.05E-05;-3.74E-05;-2.19E-05;9.90E-04;4.92E-03;1.25E-02;2.35E-02;3.36E-02;3.60E-02;3.44E-02;3.39E-02;3.34E-02;3.49E-02;3.83E-02;3.78E-02;3.41E-02;3.47E-02;3.77E-02;3.58E-02;2.83E-02;1.95E-02;1.31E-02;7.63E-03;3.05E-03;8.76E-04;2.89E-04;2.49E-04;2.21E-04;-1.06E-04;-4.44E-04;-4.41E-04;-2.38E-04;-8.20E-05;-2.70E-07;2.29E-05;2.90E-06;-2.81E-05;-3.63E-05;-2.35E-05;-7.56E-06;-2.48E-07;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;-1.12E-08;-5.63E-06;-2.72E-05;-5.24E-05;-2.09E-05;8.81E-05;1.60E-04;1.00E-04;-5.65E-06;-2.06E-05;1.28E-05;-2.48E-05;9.02E-05;5.97E-04;9.89E-04;1.09E-03;3.91E-03;1.23E-02;2.64E-02;4.17E-02;4.20E-02;2.91E-02;2.27E-02;2.19E-02;2.18E-02;2.25E-02;1.94E-02;1.32E-02;1.53E-02;2.34E-02;2.43E-02;1.98E-02;1.48E-02;1.00E-02;5.61E-03;2.06E-03;4.46E-04;-2.05E-05;-1.51E-04;-1.01E-04;-1.88E-04;-2.92E-04;-2.04E-04;-7.06E-05;-1.70E-05;-6.51E-06;-1.60E-06;-4.03E-06;-1.03E-05;-8.09E-06;-1.96E-06;-1.49E-07;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;-1.04E-08;-3.48E-06;1.82E-05;7.98E-05;7.09E-05;-1.54E-05;-6.75E-05;-9.74E-07;1.10E-04;1.48E-04;1.29E-04;-5.00E-05;-3.35E-04;8.23E-05;1.32E-03;2.83E-03;5.82E-03;1.38E-02;2.90E-02;4.06E-02;3.38E-02;2.01E-02;1.44E-02;1.61E-02;2.58E-02;3.08E-02;1.81E-02;8.06E-03;1.86E-02;3.02E-02;2.69E-02;1.82E-02;1.12E-02;6.32E-03;2.64E-03;-4.09E-05;-5.28E-04;4.15E-04;1.06E-03;1.03E-03;5.00E-04;-1.16E-04;-3.56E-04;-2.11E-04;-2.22E-05;3.36E-05;2.95E-05;1.30E-05;-4.98E-06;-1.39E-05;-8.79E-06;-1.48E-06;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;-1.73E-08;-7.19E-06;6.35E-06;-3.78E-05;-1.64E-04;-1.98E-04;-1.17E-04;8.84E-05;3.06E-04;2.88E-04;1.39E-04;1.92E-04;2.48E-04;-1.29E-04;-5.51E-04;-6.86E-04;4.94E-04;5.76E-03;2.07E-02;4.04E-02;3.83E-02;1.66E-02;4.30E-03;2.20E-03;1.20E-02;2.35E-02;9.32E-03;-9.69E-03;-1.17E-03;1.69E-02;2.11E-02;1.70E-02;1.28E-02;7.36E-03;2.01E-03;-1.06E-04;1.33E-04;3.16E-04;3.39E-04;7.92E-04;1.13E-03;7.34E-04;1.56E-04;-3.65E-05;-3.24E-05;-1.15E-05;-2.50E-06;-3.30E-06;-1.21E-05;-1.18E-05;-5.71E-06;-1.37E-06;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;-3.23E-08;-2.46E-05;-1.77E-04;-1.45E-04;8.80E-04;2.24E-03;2.41E-03;1.50E-03;3.39E-04;-3.14E-04;-4.31E-04;-1.29E-03;-2.99E-03;-3.79E-03;-4.05E-03;-5.93E-03;-7.25E-03;-4.25E-03;5.16E-03;1.85E-02;1.67E-02;1.27E-03;-6.13E-03;-1.31E-02;-7.39E-03;1.73E-02;8.68E-03;-3.07E-02;-3.79E-02;-9.16E-03;1.47E-02;1.92E-02;1.51E-02;1.03E-02;5.49E-03;2.48E-03;1.32E-03;3.91E-04;-6.58E-04;-2.81E-03;-5.01E-03;-4.75E-03;-2.67E-03;-8.87E-04;-1.23E-04;3.73E-05;5.87E-05;5.17E-05;2.64E-05;5.21E-06;-2.39E-06;-1.22E-06;0.00E+00;0.00E+00;0.00E+00
0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;5.67E-09;-9.75E-06;-4.28E-05;-5.16E-05;3.74E-05;1.45E-04;1.41E-04;9.83E-05;1.12E-04;1.20E-04;8.66E-05;7.39E-05;8.80E-05;1.16E-04;2.26E-04;9.98E-04;4.92E-03;1.13E-02;1.40E-02;1.21E-02;1.07E-02;1.11E-02;1.11E-02;1.12E-02;1.18E-02;1.08E-02;1.13E-02;1.47E-02;1.76E-02;1.82E-02;1.43E-02;6.08E-03;5.94E-04;-2.99E-04;1.20E-04;3.17E-04;3.08E-04;3.27E-04;3.09E-04;2.66E-04;2.17E-04;1.23E-04;4.37E-05;1.58E-05;1.68E-05;1.34E-05;-7.80E-07;-1.12E-05;-9.60E-06;-4.38E-06;-1.07E-06;4.16E-08;0.00E+00;0.00E+00;0.00E+00
